Theta deg;Theta  rad;r(deg) Vesta;X Vesta;Y Vesta;X trans Vesta;Y trans Vesta;phi* (deg);Ts;Ts en jours ;deltaT_win(s);deltaT_win [JJ HH MM SS];Next window;;;;
255;4.450589593;234740862.6;-91376315.76;-341021053;-60755405.91;-226742261.7;;;;;;;;;;
256;4.468042885;232961120.5;-85410760.68;-342563850.5;-56358395.86;-226041179.6;;;;;;;;;;
257;4.485496178;231200575.1;-79419188.66;-344002299.6;-52008813.13;-225274919.3;;;;;;;;;;
258;4.50294947;229459490.8;-73403424.78;-345335962.4;-47707310.7;-224445250.4;;;;;;;;;;
259;4.520402763;227738106.6;-67365301.51;-346564432.4;-43454479.34;-223553916.2;;;;;;;;;;
260;4.537856055;226036637.7;-61306658.12;-347687335.6;-39250850.22;-222602633.3;;;;;;;;;;
261;4.555309348;224355275.9;-55229340.12;-348704329.9;-35096897.57;-221593090.2;;;;;;;;;;
262;4.57276264;222694191.2;-49135198.74;-349615105.4;-30993041.15;-220526946.6;;;;;;;;;;
263;4.590215933;221053532.4;-43026090.29;-350419384.8;-26939648.85;-219405832.9;;;;;;;;;;
264;4.607669225;219433428.4;-36903875.68;-351116923;-22937039.06;-218231349.1;;;;;;;;;;
265;4.625122518;217833989.1;-30770419.8;-351707507.7;-18985483.12;-217005065;;;;;;;;;;
266;4.64257581;216255306.2;-24627590.94;-352190958.8;-15085207.59;-215728519.1;;;;;;;;;;
267;4.660029103;214697454.1;-18477260.28;-352567129.1;-11236396.56;-214403218.7;;;;;;;;;;
268;4.677482395;213160491.1;-12321301.28;-352835904.1;-7439193.856;-213030639.5;;;;;;;;;;
269;4.694935688;211644459.9;-6161589.077;-352997201.8;-3693705.135;-211612225.5;;;;;;;;;;
